,제네시스 2017 g70,제네시스 2018 g80,제네시스 2017 eq900,2016 bmw 3 series,2018 bmw 5 series,2017 bmw 7 series,2016 벤츠 C클래스,2018 벤츠 S클래스 L
45,솔직히 실제로 보고도 깔놈 몇이나있는지 모르겠다.스포츠로 샀는데 디자인이나 덩치는 압도적이다.차몰고 지나가면 지나치는사람들 대부분이 고개돌리고 다쳐다본다..주차장에서 옆에 벤츠 e클서있어도 덩치로압도한다 근데 초반에 결함이 너무많다..수리하면서 타는차라는걸배웠고..김여사가 주차테러해서 사업소입고대기중이다 사고대차렌트는 벤츠 생각중이다....출고 한달된 찬데 김여사 진심 욕나온다.. 친구도 신차인데 어제 김여사가 뒤를 박아서 병원입원중이다.. 우리나라 김여사들 어케안되냐 진짜내차박은 김여사는 사고이력이 많은지 할증 걱정하면서 현금 해달라고하는데 ..제시한 현금 액수가 너무나도 어이가 없어서 말도못하겠다. 실제 총 수리비 렌트비 합하면 4배정도 더나올거같다..,휠베이스길면 실내도 넓은거라고 생각했는데.... 아닌가보네..... 제원상 휠베이스는 쏘나타보다 5mm 긴데...타본사람들은 아반떼만하다고 하면....트렁크 용량을 키운건가....,어차피 돈없어서 못사는거 다 아니까 타보지도 않았으면서 이리저리 까대지좀 마라 꼴보기싫다 ㅋㅋㅋㅋㅋㅋ,320d 현금 견적좀 주세요 tya5959@네이버,,,,
46,연봉1억내외 겸손한 중산층 중소기업의 최적인 법인리스차 (부제: 주유는 법인카드),"이 모델 컨셉트 카 나왔을때 부터 혹해서, 실판 되자마자 대리점으로 달려갔다.정말 다른건 다 제껴두더라도,운전석 앉아보니, 내 2005년 형 스포티지 보다 좀 더 좁은 느낌이었고, 운전석 시트를 다리에 맞춰 조정 후, 내려서 뒷자리 문을 열어보니, 얼씨구??? 앞자리 시트가 뒷자리 시트에 닿아있네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ이 모델은 스포츠카 형인데 과거 문 2 도어 는 거부감을 느끼는 한국사람들을 위해 문만 만들어 놓은거라나ㅋㅋㅋㅋㅋㅋㅋ화려함을 내세우는 대신 기본을 감한 느낌...외관은 멋지다 쳐도, 실상을 보니 중국인 느낌...",신형에쿠스는 15만쯤 타면죄다 노킹발생,320i m pack 흰색 현금납 견적내주세요 micico@hanmail.net,,,,
47,연봉1억내외 겸손한 중산층의 최적인차,"이거 최소한 디자인은 뭔가 실패인거 같음. 첨 실물 봤을땐 고급스럽고 괜찮다 싶었는데 자꾸 볼수록 점점 더 싫어짐. 옆쪽의 아가미크롬장식과 앞쪽의 너무 과한 디자인이 갈수록 비호감이 심해진다. 성공한 디자인은 첨엔 낯설고 이상해도 볼수록 괜찮아져야 하는거고, 실제로 많은 대부분의 차들이 그렇다. 현기차는 크롬장식은 중국시장에서나 많이 쓰고 다른데선 좀 과감히 줄일 필요가 있고, 앞부분의 면과 선도 고민 많이 해서 제대로 정리 할 필요가 있다.",아빠차라서 몰아보니까 엄청 좋던대 ... ㅈㄴ 묵직하고 고요하게 나감 120까진 속도 올라가는것도 안느껴짐 그냥 내 소감 ㅋ,320d 현금/할부 견적좀 주세요 wjswovlf02@네이버,,,,
48,앞모습은 영락없는 lf 소나타뒷모습은 아반떼어찌 디자인 차별화를 이리도 못하는지??가오떨어진다.,댓글 보러 왔습닌다. 아직 단물 안빠졌나?,개돼지는 르쌍쉐타는사람이고~ 급발진 비율보면 르삼이 1등이다.,딸OOO 딸딸따카푸어들의 부심들이 응축되어 있는 320d차라리 국산차를 사라 카푸어들아,,,,
49,연비를 따지는 건 대형세단에서는 무의미하지 않을까요.,이거 현재 판매되고 있는차 맞나요?? 시판한지 5개월째인데...어째...1대도 보이질 않으니...원..,개돼지9000000000000000000000000000000000000마리 대기중,이거왜삼?아반떼스포츠가 훨씬 주행성능좋던데??차라리 남는돈으로 튜닝을 더하면 좋을듯,,,,
50,바가치수리비로 센타에 잡혀있고 비싼보험료로 24시주차중인 수입차 . 차주들은 골빙든다 년말연시에.,실제로 많이 보이지만 진짜 개별로 /차라리 특이한 스팅어가 백배나아보임,제아무리 발악해봐야 현대차를 비싸게 파는거일뿐,320디 Xdrive 전액현금+카드 화이트에 브라운시트 12월구매 견적부탁합니다.메일 claim-master.com,,,,
51,일부 외제 중고 사는 얘들이 항상 현차랑 비교하면서 잘 난척하는 듯... 새차사라...,이 OOO들아 제네시스 브랜드 만큼은 그냥 깝치지말고 포스코 강판써서 경량화해라 .. 기본이 안되있어 기본이 ㅉㅉ,왜 새끼라고 안하고 새123끼라고 하나여? ㅋㅋㅋ,bmw 320i m팩 12월중 구매 현금일시불 견적부탁드립니다.for_ares@naver.com,,,,
52,"아니 디자인이고 결함이고 뭐고 자시고를 떠나서 대체 뭐한다고 얘 공차중량이 2톤에 달하는건데, 카니발이냐? 거기에 네이버는 뭐 누구 놀리는 것도 아니고 같은 차종으로 쉐보레 서버번, 트레버스, 콜로라도가 뜨는건데? 뭐 하긴 3개가 다 2톤급이긴 하지만...",그릴이 바비큐굽기 좋은 그릴이다.,도대체 알바를 몇명이나 풀어놨냐 ㅋㅋ휸다이 ㅋㅋㅋㅋㅋ아님 아직까지 ㄹㅇ호갱들인건가,이거 흰색 검정색 짙은 파랑 중에 생각하고 있는데 추천좀 부탁 흰색이 중고가는 좋다긴하는데 너무 평범해서...,,,,
53,미국염라대왕테스트 IIHS 안전도 1등급 먹은차 ㅎ 디자인도 예삐....사람으로치면 서울대 짱 !!,앞 그릴하고 제발 조잡한 선좀 빼주세요 제발 요즘 현대차 디자인이 산으로 간다,"이차 까는새123끼들 대부분이 뚜벅이새123끼들이나 급식충들;; 기껏 해봐야 아반떼,K5,소나타 타고다니는 새123끼들인거 장담한다 끽해야 쉐보레 말리부,크루즈 이딴거 타고 다니는 새123끼들ㅋㅋㅋ 어떻게 아냐고? 주변에도 있거든 그런 자기 주제도 모르는 새123끼들이 말이야 ^^",Cla로갈까 320으로갈까..뒤에 조카들 태우고 다녀야해서 cla는 목이 꺽이던데..크기 비슷 하려나,,,,
54,전 5시리즈나 E클래스보다 이차가 실내나 뒤자리 등 더낫다고 생각합니다,G70 3.3t 스펙이랑 비슷한 c43 amg가 8740 만원이다. G70비싸다고 하는 것들은 차알못 인증인가? G70 살 돈으로 C200 AV나 330i 타고 다니다가 G70에 쩜백 한번 당해보면 기분 오지것다? ㅋㅋㅋ,아니 ㅋㅋ 맘에안들면 돈보태서 외제대형차사든짘ㅋㅋ아님 체어맨사든지 ㅋㅋ,"320d 선수 1000 60할부 견적 비공식,공식 합쳐서 멜보내주세요 12월 구매시.zenta901@naver.com",,,,
55,디자인이 후져서 그러지 좋은차임,죽이네요^^,오 시작가 1500 내렸네? 그래 니 주제를 아는구나 ㅋㅋ,320i 1500에 48개월견적부탁요ldw1388@naver.com,,,,
56,오너로서 평가하자면 살짝 부족하지만 그래도 상당히 좋은 차,평균 가격이 4500 만원인데........... 벤츠 c클래스가 5000만원임... 소비자의 선택이겠죠? 이미 고급차를 몰고있는 돈많은 분들이면 G70 사서 걍 몰고다닐수있겠져... 딱 한대만 구입하라고 하면 ???,개돼지900,320d 일시불 견적부탁드립니다.sb7772@naver.com,,,,
57,프리미엄 럭셔리 2wd 현금 010 6504 9293 견적이요,제네시스가 어큐라꼴 안난것만으로도 다행으로 생각한다...,흉기가 성장한 건 인정.. 그래도 이 가격은 아니다. 노조 월급 줄라고 고생한다..,320d 선수 1500에 48개월 할부 견적내주세요 jonghac@naver.com 12월구매 예정,,,,
58,현대제철 부식 탈락,잘 달리는 차..,멋은있는데 너무 많이들타더라,320D 현금일시불 / 320D M스포츠 현금일시불 견적 부탁드립니다 tkdanr321@naver.com,,,,
59,타보고 이야기하세요 차 좋아요 그리고 이왕탈거면 3.8사세요 저는 10년식 에쿠스460탑니다 제네랑 에쿠스는 차 잘만들었어요,"아이고 나온지 채 1년도 안된 차이며 처음 시도하는 차량이 아니신가. 첫불부터 배부를 수 는 없는 법. 물론 지금도 아주 좋지만 다음세대가 나온다면 훨씬 발전할걸세. 내 개인적인 소감으로는 아우디사의 A4, 재규어사의 XE, 인피니티사의 Q50보다 훨씬 좋은차라고 판단되네.","이번에 아버지가 eq900 장만하심. 20대 후반인 나는 솔직히 차에 대해서는 잘몰랐던게 사실.. 외제차가 최고인줄 알았고 그 돈으로 외제차를 사지 왜 이 차를 샀냐고 물음.. 하시는 말씀 “그래도 국내기업 차를 사야 너 또래애들 일자리 창출도 미약하게나마 생길거고 아무리 까대도 국내기업을 밀어주는게 낫다. 외제차 살돈 없어서 이거 사는거 아니야. 아빠는 이 차로 만족해.” 라고 말하는데 괜히 아버지가 존경스러웠고 한편으로는 내가 부끄러워졌음. 결론은 국산차, 외제차 같은거로 싸우는건 무의미하고 개개인의 성향인듯.. 그리고 뒷자석에 타보고 내가 또 대신 몰아보니까 차 정말 좋더라.... 결론은 돈 많이 법시다!!!!!!!!",320d 선납 1000만원가능해요 견적 부탁드립니다~! jeonjin0506@naver.com,,,,
60,"현대가 예전보다 좋아지고 괞찮아졌다해도 현대는 현대입니다. 괜히 흉기차가 아니에요. 현대의 뻥연비,뻥마력,차체부실,원가절감, 사고나면 무조건 소비자 책임으로 돌리고 수출용만 좋게 만드는 현대의 참상은 비난받아야 마땅합니다. 국내 소비자들을 호구로 보는데 칭찬받아야 되나요? 벤츠,비엠,아우디가 괜히 3사인게 아닙니다. 가격이 비싸도 기본기에 충실한 차, 안전하고 믿을만한 차를 만들기 때문이죠. 현대는? 그런건 개나줘버렸죠. 그러면서 국내 시장은 꽉 잡고 있는게 한심합니다. 현대가 망하길 소망합니다","욕은 조나게 쳐먹는데, 왜 이리 잘 팔리냐??? ㅋㅋ","내 차가 벤츠e 300 4매틱인데 아부지차가 eq900 5.0이고 비교하자면 벤츠 생각보다 풍절음 심함 ㅡㅡ; 도로상태 안 좋으면 다 들림 반면 eq는 조용 둘다 밟으면 밟는데로 잘 나감...근데 1억 2천주고 eq 안삼,,;;;",320d 모델별 견적요청드립니다. 공식 및 비공식 할인 포함한 견적으로 부탁합니다. icls11@naver.com,,,,
61,기아 30프로 받는데 솔직히 k9은 안끌리고 g80 흰둥이 끌고 싶다,3시리즈 씨클 깔때는 뒷자리 좁다고 ㅈㄹ얨병 하드만 지들이 후륜 엔트리급 뽑으니까 뒷자리 더 좁네 ㅋㅋㅋ 이게 기술력의 차이다 3.3터보 가지고 2.0터보에게 발리는 흉기 기술력 ㅋㅋㅋ,독삼사 기함에 비하면 부족한부분이 많다...하지만 우리나라 자동차 수준이 이전에 비해 매우 높아졌다는것을 알수 있다... 구형 벤츠 플랫폼 우려먹는 쌍용 체어맨에 비해 대비되는 부분,차알못 오너가 질문좀 합니다.수입차 정도면 같은연령대비 평균이상인 사람만 탈것이고.가격대에맞게 연비그닥 신경안쓸거고.차량도 중형세단인데왜 디젤차를 타는건가요,,,,
62,여쭤봅니다.중년여성이구요이번에 G80 파이니스트2WD를 구입 결정했습니다.근데 색상을 결정 못해 네티즌 여러분께 여쭤볼려구요.추천 부탁드립니다.좋은 하루들 되세요,현대차는 다 실내공간이 크게 나왔는데 이번엔 너무 작게 나오니까 다들 당황하는거지 ㅋ,개돼지 900,320d 일시불 전액현금일시불 재고차 할인 및 프로모션 최대할인 견적 부탁드립니다 12월안으로 바로구매 희망합니다 hyui0156@naver.com,,,,
63,g80 이랑 320d m패키지중 뭘 할지 고민입니다. 애도있는데 주위에서는 그돈이면 왜 아반떼 같은 차 사냐고 그러는데 저는 작은차가 좋거든요. 하지만 와이프는 크고 고급스러운 차로 가라고합니다.. 저말고 주위에선 전부다 그 돈이면 제네시스 사라고하는데 과연 맞는걸까요,니캉내캉 고성능 데이트카로 일출보러 고고싱 ..............여친있어면 공감. 없어면 비공눌러주세요,최선은 S클+기사... 근데 이게 부담되면 저는 S클 오너드리븐보단 이놈+기사로 하겠습니다.,320D 전액현금일시불 / 320D M스포츠 전액현금일시불 2가지 견적 부탁드립니다.sd11214@didigo.com,,,,
64,현대자동차 디젤엔진 3000cc는 개발 안하나 제네시스 디젤 3000c 벤츠정도만 만들어봐라,급발진 미션결함 에어백미전개 이런문제들부터 해결해줘야 하지않나요? 결함인정도 안하고 해결도 안해주면서 가격만 올리는 기업의 차를 사줘야하는건가요?,"요즘20~40대 연령는 무리를 해서라도 외제차로 많이 넘어간다. 향후 노년층 수요가 빠지면 국산차 시장은 어두울것이다. 원가절감하고, 하자 은페하고, 영향력 미치는 자에게 강매하는 수법으로 언제까지 버틸수 있을까? 우리는 개돼지 바보가 아니다. 성능 개선하고 국민에게 신뢰를 주면 이렇게 욕먹지 않을거다","320d m팩 올현금, 최소할부 견적 부탁드립니다. dodo785@gmail.com 한독 모터스면 더 좋겠네요.",,,,
65,그넘의 껍데기 안전 사양 가격대비 타보고 말하는건지 개나소나 돈 더 얹어서.외제산다고 하네 ㅋㅋ 여기 타자친거 보면 한국 95프로 정도는 외제를 타고 다니는 소리인데 ㅋㅋㅋ정작 본인은 타보고 말하는건지 가격대비? 개소리좀 그만하고 그기서 그기이구만 내가 말하는건 메르 마이 그런 개고급세단 말고 말하는거여 열폭 ㄴㄴ,좋은차 입니다. 양심있는분들이구요 서울특별시 관악구부근에 소년원(구치소)가 있습니다. 정마음에 안드시고 약을 주고싶으시면그쪽으로 양해부탁드립니다. 정말 눈꼽마치라도 자기자신을 되돌아보며 지내겠습니다. 새인생살겠습니다.,흡..연비 개쩐다..만땅으로 부산까지 몬가긋으..흑,320D M스포츠 전액현금일시불 견적 부탁드립니다.gkwizard@naver.com,,,,
66,솔직히 유지비면에서 따라 올수가없다. 수입차 as가 되는게 있고 없는게 많고 무슨 부품값은 비싸서 워런티 기간에무상으로 교환해주는것들 가격 물어보면 왠만한 사람 월급이네.글고 무슨 병원도 아니고 오일가는데 사전예약하고지들 지정오일 아니면 안된다고 존나 겁주고 말야 ㅋㅋ수입차 자차처리 해봤냐 ㅋㅋ 보험료 노답나온다.수리비 맨탈이다.범퍼 교환하는데 200만원이 넘어가냐 ㅋㅋ,깔놈들은 일단 통장 잔고부터 까세요,자동차 진짜좋은차다 나중에꼭성공해서 차 사야지,3GT 모델별로 견적 바랍니다.현금 2000 나머지 할부 입니다. ohsky21@gmaill.com,,,,
67,디젤은 안나오냐?,스팅어 짱 이딴 쓰레기 살바에 그냥 내차 계속탄다 나는 할부따위 안해 일시불로 차샀다 으이? 우리아빠 노점에서 장사한다 스팅거 리스 확 마 해뿐다 으이?,"사고싶어도못사는차,,,,",320d 현금 2000 할부 최대로 했을시 견적좀 부탁드려요 giho4327@naver.com 구매예정자입니다.,,,,
68,비발디 오르내리막 빙판길.  2년차 애마 블루 G80 거침이없다 .ㅎㅎㅎ,현대에서 모니터링 하나보네~ 아슬란의 전철을 제대로 밟고있는 쥐칠공. 이러니 바로 삭제당함 ㅋ,배댓글수준들이 딱보니 영업사원 지들이쓰고 지들이 공감누루고 저능아들이네 ㅋㅋ 똥차가지고 소설을 써라,320D 선수금 2000 나머지 할부 견적 부탁드립니다~ wnrskan123@naver.com,,,,
69,미국염라대왕테스트 IIHS 안전도 1등급 먹은차 ㅎ 디자인도 예삐....사람으로치면 서울대 짱 !!,뒷자리 모닝,진심... 내돈내서 이차사면 호구.. 법인차량이면 모를까. 성능 하체 외관 뭐하나 좋은게 없음; 장점은 크기 끝,320d gt 현금100프로 견적부탁드립니다.dolping2003@naver.com,,,,
70,프리미엄이라고 하면 똥도 사먹는 개돼지들과 초고마진만 추구하는 현대의 만남,g70 2열 좁다고 욕하는 사람들=스파크 살 돈도 없는 그냥 눈팅족일 가능성 99%,전세계 유일하게 한국에서만 럭셔리카로 인정받는 똥차,330i 블랙 선수 2500/나머지 할부 rltn_zz@naver.com 견적부탁드립니다,,,,
71,제네시스 좋은차입니다. ~ 제가 530d xdrive 타고있는대 친구가 제네시스 g80 3.3타서 한번타봤는대 편안하고 안정감들고 좋았습니다. 다들 개개인분마다 차량선택에보는관점이달라 나쁜점도 각차들마다 있겠지만 이정도면 매우 좋다고생각합니다. 편안하고 안정감들고,여기보니까 대충 사이즈나오네.ㅋㅋ사고는싶은데 능력이 안되서 못사는애들이 비싸다고 빼액ㅋㅋㅋㅋㅋ,차단된 댓글입니다,근데 일단 샀다고 치고 As라던지 여러가지 관리비용 일반 국산차보다 많이 드나요?,,,,
72,한번의 실수 죽을때까지 스튜핏 “제네시스”,젊은놈이 제네시스라고 부모님께 손벌려샀는데 뒷좌석에 아반떼보다 편히 모시지도 못하는 불효자가 타기에 알맞는차,개돼지가900000000000000000000000마리,320d 선수금 2500 기준 견적 부탁드립니다.,,,,
73,"견적요청합니다. 3.3 프레스티지 4WD,할부, 지역은 대구. love72350@hanmail.net",싼마이 쓰레기차 아무리 더 비싼 차라고 하지만 벤츠 AMG 2.0엔진의 출력만도 못내는 3.3터보엔진은 뭐하는 놈이냐?,개돼지가900000000000000000000000마리,수입 세그먼트 차량의 교과서라 할만하다.330i 구입후 1달 주행 하였다.고속안정감은 과히 최고. 부족한 옵션은 아쉽지만.달리기 성능에 명불허전사실 수입차 이정도 가격대 동급에서 비빌차가 없는 듯 함.,,,,
74,밑 .음주운전캠페인에 비공눌린놈은 음주운전하겠다는 것인데 .. 색출개시해야겠다,Ddmm오.,궁금한게있습니다EQ900은 3.8모델보다 3.3터보가 더비싼데 G80은 3.3터보가 더싸죠?,320D 올현금바로구매가능 견적바랍니다.,,,,
75,18년형 그랜져모델은 영아니올시다입니다지인들도 같은생각입니다 그래서할수없이 제네시스로 생각을바꿧지만 부담은되는 가격이네요,국산의 이 가격을 보고 나니 bmw 3 series가 만만해져 보이기 시작하네,뒷좌석에 2번 타본 경험으로는 레그룸과 헤드룸이 아주 넓어서 좋았고 의자도 아주 편안해서 상석이 따로 없네. 아우디A8과 재규어XJ같은 차량들보다 우위에 있다고 느끼네.,견적부탁합니다,,,,
76,베댓이 계속 바뀌네 ㅋ,sm6 크기만 해도 괜찮았을 텐데.,개돼지900,선수금 1000 36개월할부/ 전액 36개월할부 견적부탁드립니다. jaehyuk2261@gmail.com,,,,
77,왠만하면 연비 개선좀 해좀해라 자국민 호구 맨들지 말구 현기야 이거탈거면 난볼보xc60로 간다,대중이가 대우. 삼성. 기아 쌍용 다죽이고 현대만 남아서 생긴 일 현대가 흉기로 둔갑함,내돈주고 이거 사는 사람 있겠어?누가 사주는 차겠지,320D 선수금 1000 ~ 1500 나머지 할부 견적 부탁드려요 dhdustmd@naver.com,,,,
78,이쁜데 비싸... 못사는차..,드디어 춘천에서 한대 가는거 봤다 나쁘지않더라 디자인은 . 근대 전에 세타2이미지 때문에 그런지 꺼려진다 아무리 프리미엄이라구떠들어도 믿음이 안간다,이차가 좋기는 하지만 좋은차는 좋은차와 비교를 해야겠죠..... 그냥 좋은 차 중에서 안좋은 차라고 하면 될것 같아요..... 납품하는 회사 사장이라 상급회사에 눈치가 보이는 회사사장이나.... 고위 공무원이 타는 차입니다... 그냥 일반 개인은 다른 좋은 외제차 사세요,"320D 선수금 2000, 36개월 프로모션, 공식 비공식 올 적용가 알려주세요 좋은딜러분 기대해봅니다.newozzy@naver.com",,,,
79,디자인 이쁘다 ㅠ,g70n 이면 3.8 트윈터보 달고나올라나 ㅋㅋ,개돼지가900마리,인증이 될 수 없는 구조의 배기 판매하고 자동차 검사 전에만 일반 배기로 교체해준다는 양아치 회사 아닙니까? 도로에서 적발되면 과태료도 아니고 벌금인데 범법자 양성 자동차 회사,,,,
80,"제네시스 G80. 엔진 소착현상'으로, 500여대 '리콜' '차체 떨림 현상' 극심한 소음과 진동..시동꺼짐.. 흉기 GDI 엔진.....세타2엔진과 동일 결함판정","얘들아 흉기가 ""쥐 칠 공"" 이아니라 ""쥐~ 쉐븐튀~"" 랜다 ㅋㅋㅋㅋㅋ. 한국기업맞냐?",못사면서 다들 왜그래.....,"320D 선금1000 활부 지역은 충북청주구요 좋은 딜러분 견적부탁드립니다. 11, 12, 1월newozzy@naver.com",,,,
81,전세계 어디에서도 엔진에 빵꾸난 자동차는 현대차뿐이다.,아슬란의 뒤를이을 세븐틴~,와 eq900을 까대고있네 ... 탑5 자동차회사의 기함급을이거타는사람들 그냥 중소기업 회장 사장이거나 고위공직자거나 사업성공한사람들임,진짜 궁금한게 여기 견적내는사람들 그냥 장난 하는거임 아니면 진짜 생각 있어서 하는거임?뭐 선수금 500이런건 장난같은데 진지하게 다는댓글도 있는거 같고ㅋㅋㅋ진짜로 살마음 있는 사람이 이러는건가?또 실제로 딜러들은 그럼 연락함???,,,,
82,가성비 갑오버갑 .이런성능의차가 이런디자인 이런가격으로 이렇게 탈수있다니 ㅎㄷㄷㄷㄷ,안팔려서 어떻하니 ㅋㅋㅋ,제네시스 유럽시장 철수. 세계가 그 후진 성능을 검증해 주었군요 (국내보다 좋게 파는데도 ㅋㅋ),320d 격적좀요~ 구입시기 11월말. 12월초 선수금 3천 할부 3년 사는곳은 경기도 구리 입니다 layjude@naver.com,,,,
83,너희는 뭘타고다니길래 이차를까는거세요 진짜 네이버 자동차커뮤니티에 댓글달때 소유차량나왓음 좋겟다,이건 준중형인데 G80은 왜 대형이냐?차크기도 대형아닌데.배기량으로 대형이라고 하는거면 더 말이 안되는거고.,앞부분이 느무...오징어같네염!!!!ㅎㅎㅎㅎ오징어 한마리 보는 느낌이드네염!!ㅎㅎㅎㅎㅎㅎ,"320d 두가지 트림 견적요망! 구입시기 11월말 혹은 12월초 예상 선수금 1천만원, 할부 3년 좋은 조건 견적주시는 딜러님께 연락드릴께요 SCOLL99@hanmail.net",,,,
84,개돼지 g80 급발진슈퍼에디션,차라리 2도어 쿠페로 나왔으면 어땟을까..,현대 눈치보는 사람에게 비싸게 팔아먹기 위한 차. 비싸니 좋은줄아는 사람도 덩달아 사는차,선금 1000 할부 zzangzo11@naver.com 견적 부탁요,,,,
85,역시 제네시스중 평범하고 고급스러운건 g80이다.,"이 차가 실패한 이유는 별다를 게 없다. 한국 토종의 고가 브랜드를 지향한다면서 현대차가 외제차 회사들보다 강점으로 들고 있는 한국 시장의 축척된 국민적 선호도의 자료는 전부 무시하고 오로지 벤츠만 따라한 결과다. 한국에서 대부분 C클을 구매한 이유는 벤츠 E, S급을 타고 싶어하는 젊은 소비자 층이 현실과 타협한 최소한의 선택지인데 마치 한국에서 C클형 차종이 먹힐거라고 생각한 자체가 멍청한거지.. 스팅어의 경우는 한국인들의 선호도에 맞게 뒷좌석 확보를 함으로써 디자인은 물론 G70이 나온 이후 재평가까지 받았지..차라리 한마리 토끼만 잡도록 2도어로만 출시했다면 이렇겐 안까임",가성비 최고 bmb 벤츠 보다 낫다 모처럼 현대에서 잘 만든차 에쿠스와는 비교 불가,견적부탁드립니다차량 bmw320d 일반모델지역 경기도선금1500 할부48(파이낸셜사용×)마이카사용예정현금1장 3종 그이상 가능하신분 연락주세요(도이치 협력관련 할인적용가능)bhe1818@naver.com,,,,
86,g80 옵션넣어보니까 가격 엄청오르네 5시리즈 a6 아른거린다,가서 봤는데 외형은 95점 내부는 진짜좀 바꾸자 난 디자인만 보니 선팅 짙게 하믄 안보이게할 수 있다해도 지인 태우면 좀 그럴거 같음... 외부 디자인은 20-30대 노린다는 말이 괜한게 아닌듯 싶지만 내부보면 e클에 눈이간다 돈 더 얹고,이돈이면 폭바 카이맨 사겠다,"딜러분들 견적부탁드려요~ 구입시기는 17.12월 초,중순입니다. 모델은 320d 입니다. 색상은 화이트입니다. 선수금2천만원이고 3년할부입니다. 메일주소: gkw7771@naver.com",,,,
87,https://m.clien.net/service/board/cm_car/11484601 기아 스팅어 냉각수 누수 결함 수두룩,"안타깝지만 횬다이 기술은 딱 G70이다. 3시리즈 보고 작다고 해놓고 지들은 후륜만드니 차길이가 더 줄어뿌노. 제네시스마크 달려도 영원히 저가이미지, 사기꾼 차이나 2중대 자동차 기업이다.",와 개쩐다..... 진짜 이쁘다,"딜러분들 견적부탁드립니다.1. 구입시기: 17.11월 말에서 12월 초입니다.2. 모델 : (가) 320i 럭셔리, (나) 320i M 둘 중 하나로 구입할 생각입니다.3. 색상은 미네랄그레이나 블랙입니다.4. 할부로 구입할 생각이고, 1) 선수금 2천만원에 4년, 2) 선수금 2천5백만원에 4년 생각하고 있습니다. 5. 메일주소 : mojungl@naver.com (아이디 마지막 글자는 영어 엘입니다)",,,,
88,어찌 쌀쌀춥네 돼지국밥집 소주한잔땡겨 중생들 선동질 찰라에 밑에 멘트보고 포기 .쫑파티 남은 떡케익으로 땜빵 내일추워서 차갖고가야져 .멘트 땡큐! !ㅎ ㅎ ㅎ,앞=마세라티 뒤=벤e클 측면=아방이,지난주에 EQ900과 캐딜락 CT6 시승해봤는데 EQ가 더 좋더군요. 저는 어느 회사와도 이해관계가 없는 중립적인 사람이구요. 차에 대한 제 견해는 주관적인 만큼 직접 시승해보고 판단해보세요. 주행할 때 느낌이나 실내 인테리어 등 현대라는 회사가 맘에 안드는 점도 있지만 차 만드는 기술이 많이 발전했다는 점은 인정하고싶네요.,앗뜨거...화르륵,,,,
89,“음주 운전은 다른 사람들에게 위해를 가할 수 있는 정신 질환에 해당한다”,너무 까지말자 칭찬할건 하고 깔껀 까고현까들 폭딜 지리노,계기판 이랑 네비게이션 이랑 일체감 주는게 더 이쁠듯 E클래스 처럼,"320i, 럭셔리라인 AND 330I M 팩 라인 견적이요. BMW SMART 운용리스로 선수금 10%, 36개월, 알파인 화이트 견적 부탁드립니다. 구매시기 12월말 또는 1월중 bang623@gmail.com",,,,
90,http://ryuseunghyun.tistory.com/1753,3.3 2륜 흡배칩 하면 m3 m4 비비거나 딴다 드래그 기준 롤링은 모르겟다.이건 팩트다 유튜브 찾아봐라,차량용 2구 충전기 2700원 http://www.11st.co.kr/product/SellerProductDetail.tmall?method=getSellerProductDetail&prdNo=1732773654&NaPm=ct=j70d2puo|ci=993358c85442aaab86a65b361c9350b1b86bfbfb|tr=sls|sn=17703|hk=a2f70c412834f350d0739e790caf2872ac6395d2&utm_term=&utm_campaign=-&utm_source=%B3%D7%C0%CC%B9%F6_PCS&utm_medium=%B0%A1%B0%DD%BA%F1%B1%B3,"bmw실내는 굳이 현기랑 비교할게 아니라 아우디나 벤츠랑 비교해봐도 구리죠... 그런의미에서 bmw는 ""실내를 보고"" 사는 차는 아니죵ㅎㅎ",,,,
91,좋아요,멋있다,아직 디자인에서 조금 부족 하지만 솔직히 렉서스 ls 벤츠 s클레스 아우디a8 bmw7 재규어xj 랑 비교해도 전혀 꿀리지 않음 실내 인테리어도 고급 스럽고,우리동네 양카,,,,
92,이차 겉만 번지르르 유튜브에 하체 점검하는 영상 있는데 완전 날림 시공. 구림.,얘도 냉각수가 줄줄 흘러 내리네요 품질 최악,차야 이 정도 가격 하는 차인데 괜찮겠지.. 그런데 정말로 사고 싶냐? 흉기 노조 하는 거 보고도? 뭐 회사도 똑같지만..,어제 120달리는 아반떼앞에 차선변경했는대 하이빔날리길래 개따줌ㅋㅋㅋ 미안했는지 비상등키고 속도줄이더라구..,,,,
